Time,TotalEnergy
1.00003,-0.00438789
2.00005,-0.00438788
3.00008,-0.00438788
4.00011,-0.00438789
5.00014,-0.00438789
6.00016,-0.00438789
7.00019,-0.00438789
8.00022,-0.00438789
9.00025,-0.00438789
10.0003,-0.00438789
11.0003,-0.00438789
12.0003,-0.00438789
13.0004,-0.00438789
14.0004,-0.00438789
15.0004,-0.00438789
16.0004,-0.00438789
17.0005,-0.00438789
18.0005,-0.00438789
19.0005,-0.00438789
20.0005,-0.00438789
21.0006,-0.00438789
22.0006,-0.00438789
23.0006,-0.00438789
24.0007,-0.00438789
25.0007,-0.00438789
26.0007,-0.00438789
27.0007,-0.00438789
28.0008,-0.00438789
29.0008,-0.00438789
30.0008,-0.00438789
31.0008,-0.00438789
32.0009,-0.00438789
33.0009,-0.00438789
34.0009,-0.00438789
35.001,-0.00438789
36.001,-0.00438789
37.001,-0.00438789
38.001,-0.00438789
39.0011,-0.00438789
40.0011,-0.00438789
41.0011,-0.00438789
42.0011,-0.00438789
43.0012,-0.00438789
44.0012,-0.00438789
45.0012,-0.00438789
46.0013,-0.00438789
47.0013,-0.00438789
48.0013,-0.00438789
49.0013,-0.00438789
50.0014,-0.00438789
51.0014,-0.00438789
52.0014,-0.00438789
53.0015,-0.00438789
54.0015,-0.00438789
55.0015,-0.0043879
56.0015,-0.0043879
57.0016,-0.0043879
58.0016,-0.0043879
59.0016,-0.0043879
60.0016,-0.0043879
61.0017,-0.0043879
62.0017,-0.0043879
63.0017,-0.0043879
64.0018,-0.0043879
65.0018,-0.0043879
66.0018,-0.0043879
67.0018,-0.0043879
68.0019,-0.0043879
69.0019,-0.0043879
70.0019,-0.0043879
71.0019,-0.0043879
72.002,-0.0043879
73.002,-0.0043879
74.002,-0.0043879
75.0021,-0.00438789
76.0021,-0.0043879
77.0021,-0.0043879
78.0021,-0.0043879
79.0022,-0.0043879
80.0022,-0.00438789
81.0022,-0.00438789
82.0022,-0.00438789
83.0023,-0.00438789
84.0023,-0.00438789
85.0023,-0.00438789
86.0024,-0.00438789
87.0024,-0.00438789
88.0024,-0.00438789
89.0024,-0.00438789
90.0025,-0.00438789
91.0025,-0.00438789
92.0025,-0.00438789
93.0025,-0.00438789
94.0026,-0.00438789
95.0026,-0.00438789
96.0026,-0.00438789
97.0027,-0.00438789
98.0027,-0.00438789
99.0027,-0.00438789
100.003,-0.00438789
101.003,-0.00438789
102.003,-0.00438789
103.003,-0.00438789
104.003,-0.00438789
105.003,-0.00438789
106.003,-0.00438789
107.003,-0.00438789
108.003,-0.00438789
109.003,-0.00438789
110.003,-0.00438789
111.003,-0.00438789
112.003,-0.00438789
113.003,-0.00438789
114.003,-0.00438789
115.003,-0.00438789
116.003,-0.00438789
117.003,-0.00438789
118.003,-0.00438789
119.003,-0.00438789
120.003,-0.00438789
121.003,-0.00438789
122.003,-0.00438789
123.003,-0.00438789
124.003,-0.00438789
125.003,-0.00438789
126.003,-0.00438789
127.003,-0.00438789
128.004,-0.00438789
129.004,-0.00438789
130.004,-0.00438789
131.004,-0.00438789
132.004,-0.00438789
133.004,-0.00438789
134.004,-0.00438789
135.004,-0.00438789
136.004,-0.00438789
137.004,-0.00438789
138.004,-0.00438789
139.004,-0.00438789
140.004,-0.00438789
141.004,-0.00438789
142.004,-0.00438789
143.004,-0.00438789
144.004,-0.00438789
145.004,-0.00438789
146.004,-0.00438789
147.004,-0.00438789
148.004,-0.00438789
149.004,-0.00438789
150.004,-0.00438789
151.004,-0.00438789
152.004,-0.00438789
153.004,-0.00438789
154.004,-0.00438789
155.004,-0.00438789
156.004,-0.00438789
157.004,-0.00438789
158.004,-0.00438789
159.004,-0.00438789
160.004,-0.00438789
161.004,-0.00438789
162.004,-0.00438789
163.004,-0.00438789
164.004,-0.00438789
165.005,-0.00438789
166.005,-0.00438789
167.005,-0.00438789
168.005,-0.00438789
169.005,-0.00438789
170.005,-0.00438789
171.005,-0.00438789
172.005,-0.00438789
173.005,-0.00438789
174.005,-0.00438789
175.005,-0.00438789
176.005,-0.00438789
177.005,-0.00438789
178.005,-0.00438789
179.005,-0.00438789
180.005,-0.00438789
181.005,-0.00438789
182.005,-0.00438789
183.005,-0.00438789
184.005,-0.00438789
185.005,-0.00438789
186.005,-0.00438789
187.005,-0.00438788
188.005,-0.00438788
189.005,-0.00438788
190.005,-0.00438788
191.005,-0.00438788
192.005,-0.00438788
193.005,-0.00438788
194.005,-0.00438788
195.005,-0.00438788
196.005,-0.00438788
197.005,-0.00438788
198.005,-0.00438788
199.005,-0.00438788
200.005,-0.00438788
201.006,-0.00438788
202.006,-0.00438788
203.006,-0.00438788
204.006,-0.00438788
205.006,-0.00438789
206.006,-0.00438789
207.006,-0.00438789
208.006,-0.00438789
209.006,-0.00438789
210.006,-0.00438789
211.006,-0.00438789
212.006,-0.00438789
213.006,-0.00438789
214.006,-0.00438789
215.006,-0.00438789
216.006,-0.00438788
217.006,-0.00438788
218.006,-0.00438788
219.006,-0.00438788
220.006,-0.00438788
221.006,-0.00438788
222.006,-0.00438788
223.006,-0.00438788
224.006,-0.00438788
225.006,-0.00438788
226.006,-0.00438788
227.006,-0.00438788
228.006,-0.00438788
229.006,-0.00438788
230.006,-0.00438788
231.006,-0.00438788
232.006,-0.00438788
233.006,-0.00438788
234.006,-0.00438788
235.006,-0.00438788
236.006,-0.00438788
237.006,-0.00438788
238.007,-0.00438788
239.007,-0.00438788
240.007,-0.00438789
241.007,-0.00438789
242.007,-0.00438789
243.007,-0.00438789
244.007,-0.00438789
245.007,-0.00438789
246.007,-0.00438788
247.007,-0.00438788
248.007,-0.00438788
249.007,-0.00438788
250.007,-0.00438788
251.007,-0.00438788
252.007,-0.00438788
253.007,-0.00438788
254.007,-0.00438788
255.007,-0.00438788
256.007,-0.00438788
257.007,-0.00438788
258.007,-0.00438788
259.007,-0.00438788
260.007,-0.00438788
261.007,-0.00438788
262.007,-0.00438788
263.007,-0.00438788
264.007,-0.00438788
265.007,-0.00438788
266.007,-0.00438788
267.007,-0.00438788
268.007,-0.00438788
269.007,-0.00438788
270.007,-0.00438788
271.007,-0.00438788
272.007,-0.00438788
273.007,-0.00438788
274.008,-0.00438788
275.008,-0.00438788
276.008,-0.00438788
277.008,-0.00438788
278.008,-0.00438788
279.008,-0.00438788
280.008,-0.00438787
281.008,-0.00438787
282.008,-0.00438787
283.008,-0.00438787
284.008,-0.00438787
285.008,-0.00438787
286.008,-0.00438787
287.008,-0.00438787
288.008,-0.00438787
289.008,-0.00438787
290.008,-0.00438787
291.008,-0.00438787
292.008,-0.00438787
293.008,-0.00438787
294.008,-0.00438788
295.008,-0.00438788
296.008,-0.00438788
297.008,-0.00438787
298.008,-0.00438787
299.008,-0.00438787
300.008,-0.00438787
301.008,-0.00438787
302.008,-0.00438787
303.008,-0.00438787
304.008,-0.00438788
305.008,-0.00438788
306.008,-0.00438788
307.008,-0.00438788
308.008,-0.00438788
309.008,-0.00438788
310.008,-0.00438788
311.009,-0.00438788
312.009,-0.00438788
313.009,-0.00438788
314.009,-0.00438788
315.009,-0.00438788
316.009,-0.00438788
317.009,-0.00438788
318.009,-0.00438788
319.009,-0.00438788
320.009,-0.00438788
321.009,-0.00438788
322.009,-0.00438788
323.009,-0.00438788
324.009,-0.00438788
325.009,-0.00438788
326.009,-0.00438788
327.009,-0.00438788
328.009,-0.00438788
329.009,-0.00438788
330.009,-0.00438788
331.009,-0.00438788
332.009,-0.00438788
333.009,-0.00438788
334.009,-0.00438788
335.009,-0.00438788
336.009,-0.00438788
337.009,-0.00438787
338.009,-0.00438787
339.009,-0.00438788
340.009,-0.00438788
341.009,-0.00438788
342.009,-0.00438788
343.009,-0.00438788
344.009,-0.00438787
345.009,-0.00438787
346.009,-0.00438787
347.01,-0.00438787
348.01,-0.00438787
349.01,-0.00438787
350.01,-0.00438787
351.01,-0.00438787
352.01,-0.00438787
353.01,-0.00438787
354.01,-0.00438787
355.01,-0.00438787
356.01,-0.00438787
357.01,-0.00438787
358.01,-0.00438787
359.01,-0.00438787
360.01,-0.00438787
361.01,-0.00438787
362.01,-0.00438787
363.01,-0.00438787
364.01,-0.00438787
365.01,-0.00438787
366.01,-0.00438787
367.01,-0.00438787
368.01,-0.00438787
369.01,-0.00438787
370.01,-0.00438787
371.01,-0.00438787
372.01,-0.00438787
373.01,-0.00438787
374.01,-0.00438787
375.01,-0.00438786
376.01,-0.00438786
377.01,-0.00438786
378.01,-0.00438786
379.01,-0.00438786
380.01,-0.00438786
381.01,-0.00438786
382.01,-0.00438786
383.01,-0.00438786
384.011,-0.00438786
385.011,-0.00438786
386.011,-0.00438786
387.011,-0.00438786
388.011,-0.00438786
389.011,-0.00438786
390.011,-0.00438787
391.011,-0.00438787
392.011,-0.00438787
393.011,-0.00438787
394.011,-0.00438787
395.011,-0.00438787
396.011,-0.00438787
397.011,-0.00438787
398.011,-0.00438787
399.011,-0.00438787
400.011,-0.00438787
401.011,-0.00438787
402.011,-0.00438787
403.011,-0.00438787
404.011,-0.00438787
405.011,-0.00438787
406.011,-0.00438787
407.011,-0.00438787
408.011,-0.00438787
409.011,-0.00438787
410.011,-0.00438787
411.011,-0.00438787
412.011,-0.00438787
413.011,-0.00438787
414.011,-0.00438787
415.011,-0.00438787
416.011,-0.00438787
417.011,-0.00438787
418.011,-0.00438787
419.011,-0.00438787
420.011,-0.00438787
421.012,-0.00438787
422.012,-0.00438788
423.012,-0.00438788
424.012,-0.00438788
425.012,-0.00438788
426.012,-0.00438788
427.012,-0.00438788
428.012,-0.00438788
429.012,-0.00438788
430.012,-0.00438788
431.012,-0.00438788
432.012,-0.00438788
433.012,-0.00438788
434.012,-0.00438788
435.012,-0.00438788
436.012,-0.00438788
437.012,-0.00438788
438.012,-0.00438788
439.012,-0.00438788
440.012,-0.00438788
441.012,-0.00438788
442.012,-0.00438788
443.012,-0.00438788
444.012,-0.00438787
445.012,-0.00438787
446.012,-0.00438788
447.012,-0.00438788
448.012,-0.00438788
449.012,-0.00438788
450.012,-0.00438788
451.012,-0.00438788
452.012,-0.00438788
453.012,-0.00438788
454.012,-0.00438788
455.012,-0.00438788
456.012,-0.00438788
457.013,-0.00438788
458.013,-0.00438788
459.013,-0.00438788
460.013,-0.00438788
461.013,-0.00438788
462.013,-0.00438789
463.013,-0.00438788
464.013,-0.00438788
465.013,-0.00438789
466.013,-0.00438789
467.013,-0.00438789
468.013,-0.00438789
469.013,-0.00438789
470.013,-0.00438789
471.013,-0.00438789
472.013,-0.00438789
473.013,-0.00438789
474.013,-0.00438789
475.013,-0.00438789
476.013,-0.00438788
477.013,-0.00438788
478.013,-0.00438789
479.013,-0.00438789
480.013,-0.00438789
481.013,-0.00438789
482.013,-0.00438789
483.013,-0.00438789
484.013,-0.00438789
485.013,-0.00438789
486.013,-0.00438789
487.013,-0.00438789
488.013,-0.00438789
489.013,-0.00438789
490.013,-0.00438789
491.013,-0.00438789
492.013,-0.00438789
493.013,-0.00438789
494.014,-0.00438789
495.014,-0.00438789
496.014,-0.00438789
497.014,-0.00438789
498.014,-0.00438789
499.014,-0.00438789
500.014,-0.00438789
501.014,-0.00438789
